Pág.;Mês;Ano;SALARIO;INSS MES;SR COMISSAO;ESC ASS MEDICA AMIL;REMUNERACAO VARIAVEL;ALE REFEICAO;IRRF MES;ESC ADT QUINZENAL;LICENCA PATERNIDADE;ESC DEP AM AMIL;INSS 13 SALARIO;IF MEDIA 13 SALARIO;SSIST MED BRA;EP ASSIST MED BRA
1;09;2019;953,36;200,43;173,68;5,00;1.100,00;6,00;;;;;;;;
2;10;2016;1.300,00;339,73;288,46;5,00;1.500,00;;63,35;520,00;;;;;;
3;11;2016;1.126,65;250,71;285,71;5,00;1.200,00;6,00;47,33;520,00;173,36;5,00;;;;
4;09;2016;1.300,00;250,92;288,00;;1.200,00;6,00;19,04;520,00;;;9,92;124,00;5,00;5,00
5;01;2020;1.300,00;200,70;180,00;;750,00;6,00;;520,00;;;;;5,00;10,00
